"var","label","set","battery","k","midpoint_declared","in_universe","codes_verified","midpoint_verified","codes","labels","w1_var","entry_wave_ok","in_main","in_main_midpoint","in_rating_all","in_v07_rule","reason","note"
"DQ111","w5問11_意識項目11","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ111",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ112","w5問12_意識項目12","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ112",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ113","w5問13_意識項目13","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ113",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ114","w5問14_意識項目14","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ114",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ115","w5問15_意識項目15","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ115",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ116","w5問16_意識項目16","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ116",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ117","w5問17_意識項目17","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ117",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ118","w5問18_意識項目18","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ118",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ119","w5問19_意識項目19","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ119",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ120","w5問20_意識項目20","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ120",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ121","w5問21_意識項目21","rating","eval5",5,FALSE,TRUE,TRUE,FALSE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ121",TRUE,TRUE,FALSE,TRUE,TRUE,"","synthetic five-point item declared without a neutral midpoint"
"DQ122","w5問22_意識項目22","rating","eval5",5,FALSE,TRUE,TRUE,FALSE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ122",TRUE,TRUE,FALSE,TRUE,TRUE,"","synthetic five-point item declared without a neutral midpoint"
"DQ123","w5問23_意識項目23","rating","eval5",5,FALSE,TRUE,TRUE,FALSE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ123",TRUE,TRUE,FALSE,TRUE,TRUE,"","synthetic five-point item declared without a neutral midpoint"
"DQ124","w5問24_意識項目24","rating","eval5",5,FALSE,TRUE,TRUE,FALSE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ124",TRUE,TRUE,FALSE,TRUE,TRUE,"","synthetic five-point item declared without a neutral midpoint"
"DQ125","w5問25_意識項目25","rating","eval5",5,FALSE,TRUE,TRUE,FALSE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ125",TRUE,TRUE,FALSE,TRUE,TRUE,"","synthetic five-point item declared without a neutral midpoint"
"DQ126","w5問26_意識項目26","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ126",FALSE,FALSE,FALSE,TRUE,TRUE,"","synthetic item whose entry-wave counterpart has four codes (coding mismatch: outside the common battery)"
"DQ127","w5問27_意識項目27","frequency","freq5",5,FALSE,TRUE,TRUE,FALSE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない",NA,FALSE,FALSE,FALSE,FALSE,TRUE,"","synthetic item treated as a frequency scale (sensitivity set only)"
"DQ128","w5問28_意識項目28","frequency","freq5",5,FALSE,TRUE,TRUE,FALSE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない",NA,FALSE,FALSE,FALSE,FALSE,TRUE,"","synthetic item treated as a frequency scale (sensitivity set only)"
"DQ131","w5問31_事実項目31","rating","agree5",3,TRUE,TRUE,FALSE,FALSE,"1 2","はい | いいえ","ZQ131",FALSE,FALSE,FALSE,FALSE,FALSE,"substantive codes are not 1..3","synthetic binary item listed with a wrong k: must fail the code check"
"DQ999",NA,"rating","agree5",5,TRUE,FALSE,FALSE,FALSE,"","",NA,FALSE,FALSE,FALSE,FALSE,FALSE,"not in the item universe","synthetic item absent from the file: must be reported as not in the item universe"
"DQ129","w5問29_意識項目29","","",5,NA,TRUE,NA,NA,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない",NA,FALSE,FALSE,FALSE,FALSE,TRUE,"not on the list: entered the composites under the v0.7 rule only",""
"DQ130","w5問30_意識項目30","","",5,NA,TRUE,NA,NA,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない",NA,FALSE,FALSE,FALSE,FALSE,TRUE,"not on the list: entered the composites under the v0.7 rule only",""
