"dose_def","family","var","label","estimator","estimate","se_analytic","se_boot","d_std","p","q","p_tost","q_tost","class3","n_old","n_new","n_pairs","funnel_ratio","funnel_ratio_supported","funnel_zero_denom","funnel_sparse_gt1","funnel_ncat","exclude_flag","count_exclude","filter_mismatch","nr_routing_flag","routing_followup"
"exact","A_substantive","DQ109","w5問9_意識項目9","sm",0.01069,0.05216,0.04963,0.0098,0.8295,0.9421,0.0243,0.09781,"equivalent",2550,531,2369,0.643,0.643,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ109","w5問9_意識項目9","ssm",0.053,0.05599,0.0543,0.0488,0.329,0.843,0.1531,0.2616,"undetermined",2237,457,2369,0.643,0.643,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ109","w5問9_意識項目9","ec",0.0077,0.0438,0.04598,0.0071,0.867,0.9547,0.01414,0.06261,"equivalent",2550,880,2369,0.643,0.643,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ109","w5問9_意識項目9","ec_adj",0.00404,NA,0.04723,0.0037,0.9318,0.9777,0.01345,0.0629,"equivalent",2550,880,2369,0.643,0.643,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ110","w5問10_意識項目10","naive",0.05253,0.04191,0.04812,0.0489,0.2749,0.2966,0.1271,1,"undetermined",2547,888,2375,0.585,0.585,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ110","w5問10_意識項目10","sm",-0.08561,0.04963,0.05579,-0.0797,0.1249,0.7175,0.348,0.4459,"undetermined",2547,538,2375,0.585,0.585,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ110","w5問10_意識項目10","ssm",-0.05407,0.05206,0.05448,-0.0503,0.321,0.843,0.1638,0.2648,"undetermined",2228,461,2375,0.585,0.585,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ110","w5問10_意識項目10","ec",-0.08617,0.0431,0.04988,-0.0802,0.08406,0.4203,0.3352,0.4334,"undetermined",2547,888,2375,0.585,0.585,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ110","w5問10_意識項目10","ec_adj",-0.08472,NA,0.04959,-0.0789,0.08755,0.4436,0.3237,0.4196,"undetermined",2547,888,2375,0.585,0.585,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ111","w5問11_意識項目11","naive",0.14011,0.04249,0.03681,0.129,0.0001409,0.0006418,0.8037,1,"affected",2558,876,2387,0.725,0.725,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ111","w5問11_意識項目11","sm",0.01868,0.05204,0.05059,0.0172,0.7119,0.9421,0.03769,0.09781,"equivalent",2558,527,2387,0.725,0.725,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ111","w5問11_意識項目11","ssm",0.05153,0.05589,0.05233,0.0474,0.3247,0.843,0.1376,0.2537,"undetermined",2237,451,2387,0.725,0.725,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ111","w5問11_意識項目11","ec",0.00395,0.04363,0.03973,0.0036,0.9208,0.9547,0.004209,0.03888,"equivalent",2558,876,2387,0.725,0.725,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ111","w5問11_意識項目11","ec_adj",0.00248,NA,0.03937,0.0023,0.9498,0.9777,0.003506,0.03429,"equivalent",2558,876,2387,0.725,0.725,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ112","w5問12_意識項目12","naive",0.10038,0.04246,0.04084,0.092,0.01399,0.02124,0.4152,1,"affected",2565,882,2394,0.694,0.694,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ112","w5問12_意識項目12","sm",0.01111,0.05058,0.04958,0.0102,0.8227,0.9421,0.02403,0.09781,"equivalent",2565,540,2394,0.694,0.694,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ112","w5問12_意識項目12","ssm",0.01705,0.05493,0.05357,0.0156,0.7503,0.8917,0.04285,0.1907,"undetermined",2241,462,2394,0.694,0.694,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ112","w5問12_意識項目12","ec",-0.03818,0.04355,0.04302,-0.035,0.3748,0.9547,0.04956,0.0913,"equivalent",2565,882,2394,0.694,0.694,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ112","w5問12_意識項目12","ec_adj",-0.0396,NA,0.04248,-0.0363,0.3512,0.9777,0.05089,0.09374,"equivalent",2565,882,2394,0.694,0.694,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ113","w5問13_意識項目13","naive",0.10428,0.04194,0.04667,0.0971,0.02546,0.03441,0.4736,1,"affected",2546,866,2395,0.742,0.742,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ113","w5問13_意識項目13","sm",0.00958,0.05048,0.05318,0.0089,0.8571,0.9421,0.03296,0.09781,"equivalent",2546,526,2395,0.742,0.742,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ113","w5問13_意識項目13","ssm",0.05123,0.05523,0.05835,0.0477,0.38,0.8917,0.1679,0.2648,"undetermined",2227,449,2395,0.742,0.742,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ113","w5問13_意識項目13","ec",-0.01708,0.04301,0.04691,-0.0159,0.7157,0.9547,0.02712,0.07301,"equivalent",2546,866,2395,0.742,0.742,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ113","w5問13_意識項目13","ec_adj",-0.01532,NA,0.04736,-0.0143,0.7463,0.9777,0.02595,0.06988,"equivalent",2546,866,2395,0.742,0.742,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ114","w5問14_意識項目14","naive",0.12349,0.04251,0.04698,0.1139,0.008572,0.01464,0.6255,1,"affected",2556,873,2367,0.682,0.682,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ114","w5問14_意識項目14","sm",-0.02266,0.05044,0.04971,-0.0209,0.6486,0.9421,0.04217,0.1017,"undetermined",2556,527,2367,0.682,0.682,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ114","w5問14_意識項目14","ssm",-0.00182,0.05382,0.05583,-0.0017,0.974,0.974,0.02806,0.1907,"undetermined",2233,452,2367,0.682,0.682,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ114","w5問14_意識項目14","ec",0.01682,0.04366,0.04587,0.0155,0.7138,0.9547,0.02286,0.06668,"equivalent",2556,873,2367,0.682,0.682,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ114","w5問14_意識項目14","ec_adj",0.01672,NA,0.04579,0.0154,0.715,0.9777,0.02255,0.06578,"equivalent",2556,873,2367,0.682,0.682,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ115","w5問15_意識項目15","naive",0.03786,0.04184,0.04523,0.0351,0.4026,0.4233,0.06076,1,"undetermined",2547,878,2339,0.639,0.639,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ115","w5問15_意識項目15","sm",-0.06684,0.05019,0.04764,-0.0619,0.1606,0.7175,0.1944,0.2846,"undetermined",2547,531,2339,0.639,0.639,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ115","w5問15_意識項目15","ssm",-0.00689,0.05433,0.05155,-0.0064,0.8936,0.9313,0.02504,0.1907,"undetermined",2226,454,2339,0.639,0.639,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ115","w5問15_意識項目15","ec",-0.08982,0.04308,0.04586,-0.0832,0.05015,0.3511,0.3468,0.4334,"undetermined",2547,878,2339,0.639,0.639,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ115","w5問15_意識項目15","ec_adj",-0.09199,NA,0.04651,-0.0853,0.04795,0.3357,0.3661,0.4419,"undetermined",2547,878,2339,0.639,0.639,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ116","w5問16_意識項目16","naive",0.104,0.04274,0.04075,0.0953,0.01071,0.01756,0.4503,1,"affected",2543,881,2399,0.625,0.625,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ116","w5問16_意識項目16","sm",-0.02273,0.05235,0.04572,-0.0208,0.619,0.9421,0.02946,0.09781,"equivalent",2543,523,2399,0.625,0.625,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ116","w5問16_意識項目16","ssm",0.02767,0.05704,0.05014,0.0254,0.581,0.8917,0.05219,0.1907,"undetermined",2221,445,2399,0.625,0.625,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ116","w5問16_意識項目16","ec",-0.00971,0.0438,0.03728,-0.0089,0.7945,0.9547,0.003842,0.03888,"equivalent",2543,881,2399,0.625,0.625,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ116","w5問16_意識項目16","ec_adj",-0.00572,NA,0.03685,-0.0052,0.8767,0.9777,0.002514,0.03429,"equivalent",2543,881,2399,0.625,0.625,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ117","w5問17_意識項目17","naive",0.09298,0.04064,0.04376,0.0881,0.03362,0.04177,0.3873,1,"affected",2536,893,2371,0.652,0.652,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ117","w5問17_意識項目17","sm",-0.05286,0.04805,0.04844,-0.0501,0.2751,0.7869,0.1385,0.2271,"undetermined",2536,535,2371,0.652,0.652,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ117","w5問17_意識項目17","ssm",-0.04373,0.05218,0.05775,-0.0414,0.4489,0.8917,0.1423,0.2537,"undetermined",2211,456,2371,0.652,0.652,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ117","w5問17_意識項目17","ec",-0.02355,0.04182,0.04546,-0.0223,0.6044,0.9547,0.0357,0.08048,"equivalent",2536,893,2371,0.652,0.652,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ117","w5問17_意識項目17","ec_adj",-0.02393,NA,0.04613,-0.0227,0.604,0.9777,0.03848,0.08352,"equivalent",2536,893,2371,0.652,0.652,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ118","w5問18_意識項目18","naive",0.11705,0.04135,0.04943,0.109,0.01789,0.02529,0.5776,1,"affected",2554,895,2375,0.667,0.667,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ118","w5問18_意識項目18","sm",0.00197,0.05068,0.05841,0.0018,0.9731,0.9731,0.03557,0.09781,"equivalent",2554,533,2375,0.667,0.667,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ118","w5問18_意識項目18","ssm",-0.00754,0.05463,0.06564,-0.007,0.9086,0.9313,0.06414,0.1907,"undetermined",2235,452,2375,0.667,0.667,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ118","w5問18_意識項目18","ec",-0.01918,0.04258,0.05265,-0.0179,0.7156,0.9547,0.04696,0.0913,"equivalent",2554,895,2375,0.667,0.667,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ118","w5問18_意識項目18","ec_adj",-0.01868,NA,0.05164,-0.0174,0.7176,0.9777,0.04295,0.08352,"equivalent",2554,895,2375,0.667,0.667,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ119","w5問19_意識項目19","naive",0.14451,0.04178,0.04411,0.1337,0.001051,0.003,0.7958,1,"affected",2563,903,2384,0.658,0.658,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ119","w5問19_意識項目19","sm",-0.00514,0.04966,0.05101,-0.0048,0.9197,0.9427,0.02182,0.09781,"equivalent",2563,534,2384,0.658,0.658,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ119","w5問19_意識項目19","ssm",-0.01744,0.05375,0.05245,-0.0161,0.7396,0.8917,0.04203,0.1907,"undetermined",2243,457,2384,0.658,0.658,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ119","w5問19_意識項目19","ec",0.01238,0.04289,0.0448,0.0115,0.7822,0.9547,0.01635,0.06261,"equivalent",2563,903,2384,0.658,0.658,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ119","w5問19_意識項目19","ec_adj",0.01349,NA,0.04508,0.0125,0.7647,0.9777,0.01797,0.0629,"equivalent",2563,903,2384,0.658,0.658,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ120","w5問20_意識項目20","naive",0.08347,0.04258,0.0375,0.0772,0.02602,0.03441,0.2549,1,"affected",2546,860,2381,0.62,0.62,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ120","w5問20_意識項目20","sm",-0.05645,0.05157,0.04503,-0.0522,0.21,0.7175,0.1253,0.2141,"undetermined",2546,516,2381,0.62,0.62,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ120","w5問20_意識項目20","ssm",-0.02394,0.05646,0.04824,-0.0221,0.6197,0.8917,0.04035,0.1907,"undetermined",2220,440,2381,0.62,0.62,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ120","w5問20_意識項目20","ec",-0.02857,0.0438,0.03864,-0.0264,0.4597,0.9547,0.01968,0.06261,"equivalent",2546,860,2381,0.62,0.62,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ120","w5問20_意識項目20","ec_adj",-0.03056,NA,0.03851,-0.0282,0.4275,0.9777,0.02191,0.06578,"equivalent",2546,860,2381,0.62,0.62,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ121","w5問21_意識項目21","naive",0.12353,0.04246,0.03874,0.114,0.001428,0.003558,0.6521,1,"affected",2537,884,2361,0.626,0.626,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ121","w5問21_意識項目21","sm",0.01456,0.0511,0.04682,0.0134,0.7558,0.9421,0.02255,0.09781,"equivalent",2537,534,2361,0.626,0.626,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ121","w5問21_意識項目21","ssm",0.06685,0.05474,0.04901,0.0617,0.1726,0.7383,0.1984,0.3013,"undetermined",2217,456,2361,0.626,0.626,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ121","w5問21_意識項目21","ec",0.00572,0.04377,0.03924,0.0053,0.8841,0.9547,0.004443,0.03888,"equivalent",2537,884,2361,0.626,0.626,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ121","w5問21_意識項目21","ec_adj",0.00566,NA,0.03967,0.0052,0.8865,0.9777,0.004805,0.03429,"equivalent",2537,884,2361,0.626,0.626,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ122","w5問22_意識項目22","naive",0.09038,0.04135,0.04557,0.085,0.04732,0.05544,0.3633,1,"affected",2549,883,2369,0.736,0.736,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ122","w5問22_意識項目22","sm",-0.03273,0.04985,0.05263,-0.0308,0.534,0.9421,0.08101,0.1631,"undetermined",2549,531,2369,0.736,0.736,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ122","w5問22_意識項目22","ssm",-0.00969,0.05429,0.05609,-0.0091,0.8629,0.9313,0.04246,0.1907,"undetermined",2233,451,2369,0.736,0.736,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ122","w5問22_意識項目22","ec",-0.04009,0.04264,0.04517,-0.0377,0.3749,0.9547,0.07131,0.1188,"undetermined",2549,883,2369,0.736,0.736,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ122","w5問22_意識項目22","ec_adj",-0.04222,NA,0.04437,-0.0397,0.3413,0.9777,0.07429,0.1238,"undetermined",2549,883,2369,0.736,0.736,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ123","w5問23_意識項目23","naive",0.1338,0.04287,0.05277,0.1225,0.01122,0.0177,0.6794,1,"affected",2566,888,2388,0.614,0.614,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ123","w5問23_意識項目23","sm",-0.02433,0.05131,0.04789,-0.0223,0.6114,0.9421,0.03817,0.09781,"equivalent",2566,536,2388,0.614,0.614,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
